File Name,Author,Institution,Company
ICICI Direct- Titan Industries (TITIND)- eRr Group New regulations to change financial model….pdf,['Bharat Chhoda' 'Dhvani Modi'],ICICI Securities Ltd,"['Capital' 'FII' 'FY12FY13FY14EFY15E' 'FY14E' 'FY15E' 'ICICI'
 'ICICIdirect.com' 'TITIND' 'Titan' 'EPS' 'FY14E' 'FY15E' 'Fastrack'
 'ICICI' 'ICICIdirect.com' 'Particulars' 'RoCE' 'BUY' 'Central' 'FY14'
 'FY15' 'FY15E' 'ICICI' 'PAT' 'Reserve' 'Assets' 'Buy' 'Capital' 'Current'
 'FY12FY13FY14EFY15E' 'ICICI' 'ICICIdirect.com' 'Inc' 'PAT' 'PBT'
 'Solvency' 'Total' 'Gold' 'ICICI' 'ICICIdirect.com' 'Releases' 'TIDCO'
 'TIL' 'Tamil' 'Tata' 'CMPM' 'CY12E' 'EPS' 'FIIs' 'FY12' 'FY13E'
 'FY13EFY14EFY15EFY13EFY14EFY15EFY13EFY14EFY15E' 'FY14E' 'ICICI'
 'ICICIdirect.com' 'PANRET' 'RHS' 'RoCE' 'SHOSTO' 'SalesEBITDA' 'Shoppers'
 'TITIND' 'ANALYST' 'Company' 'FINANCE' 'FINRA' 'ICICI' 'Investment' 'MIDC'
 'Sell' 'ﬁICICI']"
CLSA  in to the vold.pdf,['Christopher Wood'],Others,"['Federal' 'GREED' 'IIBerlinFinancial' 'LHS' 'Labour' 'US' 'Wood' 'Atlanta'
 'Economic' 'Fed' 'GDP' 'GDPNow' 'GREED' 'LMCI' 'QoQ' 'RHS' 'US' 'Wood'
 'YoY' 'ŒWages' 'AECOM' 'Astec' 'Brooking' 'CLSA' 'Fatal' 'GREED' 'RHS'
 'Treasury' 'US' 'Wood' 'Bernie' 'Business' 'Democratic' 'Donald' 'Fed'
 'Labour' 'Republican' 'Sanders' 'US' 'Wood' 'Brexit' 'GREED' 'UK' 'Wood'
 'forﬁLeaveﬂ' 'ﬁOutﬂ' 'ﬁRemainﬂ' 'Brexit' 'CCAR' 'Comprehensive' 'DFAST'
 'Dodd-Frank' 'Eurozone' 'Fed' 'Federal' 'GDP' 'GREED' 'Margaret' 'Wood'
 'Davos' 'Federal' 'Wood' 'World' 'ﬁBig' 'CLSA' 'ChinaOpps' 'GREED' 'KBW'
 'NPL' 'PBOC' 'RHS' 'US' 'Wood' 'ŒChina' 'CEIC' 'GDP' 'National' 'PBOC'
 'Wood' 'CEIC' 'Control' 'GDP' 'GREED' 'International' 'Markets' 'PBOC'
 'Private' 'Rise' 'SOE' 'Total' 'Wood' 'CLSA' 'FTSE' 'GREED' 'MSCI'
 'Markets' 'State' 'Wood' 'YoY' 'includeA' 'CEIC' 'CLSA' 'GDP' 'MOSPI'
 'New' 'RHS' 'SBP' 'State' 'Wood' 'BJP' 'CLSA' 'GDP' 'GREED' 'MSCI' 'New'
 'Wood' 'renewRajan' 'AIA' 'BDO' 'BaiduChina' 'Bank' 'CLSA' 'Compliance'
 'Credit' 'GRUH' 'HDFC' 'IncChina' 'IndusInd' 'LLC' 'LLCand' 'Metrobank'
 'NaverPhilippines' 'Newcrest' 'Persistent' 'Research' 'SELL'
 'TencentChina' 'Total' 'Wood' 'ﬁCA' 'ﬁCLSAﬂ' 'ﬁDouble']"
BHEL IIFL.pdf,[''],Others,"['Company' 'EBITDA' 'EPS' 'Equity' 'FIs' 'FY16f' 'FY18f' 'INR' 'INR3bn'
 'INRbn' 'INRmn' 'InQ2' 'JDUWhile' 'NTPC' 'PAT' 'Relative' 'Reuters' 'RoCE'
 'RoE' 'Sell' 'Sensex' 'TPtoSep16' 'YoY' 'aSell' 'bpdeclineinFY16and'
 'codeAvg' 'inQ2' 'ofSCordersintherevenue' 'toINR370bn' 'BHEL' 'EBITDA'
 'FS' 'IL' 'INRbn' 'Mar16e' 'RHS' 'BHEL' 'EBITDA' 'EPSonlowermargins' 'FS'
 'FY16f' 'IL' 'INR' 'INRbn' 'INRmn' 'NetRevenue' 'Old' 'PBT' 'BHEL'
 'Avendus Securities Private Limited' 'ADDRESS' 'BHEL' 'BSECMINZ010005833'
 'BandraKurla' 'FS' 'IBSPL' 'IL' 'PlotC22' 'PrivateLimited'
 'SEBIRegistration' 'asAvendus' 'byIL' 'ofIBSPL']"
trbc_quick_guide.pdf,[],Others,"['Applied' 'BASIC' 'BUSINESS' 'Commodity' 'Containers' 'ENERGY' 'Energy'
 'Forest' 'INDUSTRY' 'Integrated' 'Metals' 'Mineral' 'Paper' 'REUTERS'
 'Specialty' 'THOMSON' 'Wood' 'Airport' 'BUSINESS' 'Business' 'CONSUMER'
 'Commercial' 'Components' 'Construction' 'Consumer' 'ECONOMIC'
 'Electrical' 'Employment' 'Environmental' 'Equipment' 'Household'
 'INDUSTRIALS' 'INDUSTRY' 'Logistics' 'Motorcycle' 'REUTERS' 'Rubber'
 'SECTOR' 'Transport' 'Truck' 'Accessories' 'BUSINESS' 'CONSUMER'
 'Computer' 'Department' 'Discount' 'ECONOMIC' 'Electronics'
 'Entertainment' 'Household' 'INDUSTRY' 'Parts' 'Personal' 'REUTERS'
 'Service' 'THOMSON' 'BUSINESS' 'Brokerage' 'Brokers' 'Commercial'
 'Commodity' 'Corporate' 'FINANCIALS' 'Fund' 'Healthcare' 'INDUSTRY'
 'Investment' 'Medical' 'REUTERS' 'Real' 'Supplies' 'THOMSON' 'BUSINESS'
 'Computer' 'Computers' 'ECONOMIC' 'Electric' 'Electrical' 'Household'
 'INDUSTRY' 'IPPs' 'Integrated' 'Multiline' 'Parts' 'REUTERS' 'TECHNOLOGY'
 'TELECOMMUNICATIONS' 'THOMSON' 'Telecommunications' 'Wireless']"
2005_Dec_Jan.pdf,File not opened!,File not opened!,File not opened!
CRG-20170527-MOSL-RU-PG008.pdf,[],Research Report Motilal,"['Bloomberg' 'CRG' 'D' 'EBIDTA' 'EPS' 'FY19' 'INR' 'INR1' 'INR2' 'INR3b'
 'INR7b' 'INRb' 'INRm' 'Industrial' 'Oswal' 'Research' 'SENSEX' 'Sell'
 'USDb' 'YoY' 'ZIV' 'Company' 'EBIT' 'Greaves' 'INR' 'INR1' 'INR2'
 'INR376m' 'INR5' 'PAT' 'Systems' 'YoY' 'Automation' 'Company' 'EBIT'
 'EBITDA' 'FY19' 'FY19E' 'INR' 'INR65' 'Industrial' 'New' 'Overseas' 'SELL'
 'YoY' 'ZIV' 'CG' 'FY17' 'INR' 'INR1b' 'INR3b' 'QFY17' 'ZIV' 'Bank'
 'Capital' 'Current' 'Fixed' 'INR' 'Net' 'PAT' 'EO' 'FA' 'INR' 'Inc'
 'Investments' 'Net' 'RELIANCE CAPITAL TRUSTEE CO LTD' 'Associates' 'BIRLA'
 'CAPITAL' 'CEO' 'CFO' 'Consensus' 'Consumer' 'Corporate' 'EPS' 'EQUITY'
 'FII' 'INDIA' 'INR' 'Industrial' 'LIFE' 'MOSL' 'PRIVATE' 'Power'
 'RELIANCE' 'SAMENA' 'SUN' 'TRUSTEE' 'USD4b'
 'Capital Singapore Pte Limited' 'For Motilal Oswal Securities Limited'
 'Mo Oswal Securities Limited' 'Motilal Oswal Securities Limited'
 'Oswal Capital Markets Singapore Pte Limited'
 'Singapore Motilal Oswal Securities Ltd' 'Acts' 'Advisers' 'Analyst' 'CE'
 'CROMPTON' 'Company' 'Disclosure' 'Exchange' 'FAA' 'FINRA' 'Financial'
 'Futures' 'GREAVES' 'INH000000412' 'Institutional' 'Interest'
 'International' 'Laws' 'MOSIPL' 'MOSL' 'MOST' 'MOSt' 'Motilal' 'Mumbai'
 'NASD' 'NYSE' 'No' 'Oswal' 'Private' 'Regional' 'Researc' 'Research'
 'SEBI' 'SEC' 'SFC' 'SFO' 'Securities' 'Show' 'Singapore' 'Suite'
 'ﬁProfessional']"
KPIT choksey-report.pdf,['Shah Hardk' 'Niyati Jhaveri'],Research Information Technology Result Update,"['Result Update KPIT Cummins Infosystems Ltd' 'Bloomberg' 'CQGR' 'Capital'
 'EBITDA' 'EBTIDA' 'EPS' 'Equity' 'FY11' 'FY12' 'FY12E' 'FY13E' 'KRChoksey'
 'Particulars' 'Q2FY12E' 'Q4FY12E' 'QoQ' 'USD14' 'USD285' 'YoY' 'CNG'
 'FY12E' 'FY13E' 'Institutional' 'KPIT' 'KRChoksey' 'Key' 'OEMs' 'Others'
 'Q1FY11' 'Q1FY11Q2FY11Q3FY11Q4FY11Q1' 'Q1FY12' 'QoQ' 'SAP' 'SMEs' 'USA'
 'USD15' 'clientsTop' 'EPS' 'FY13E' 'Institutional' 'Interest' 'KPIT'
 'KRChoksey' 'Particulars' 'Total' 'EBITDA' 'EPS' 'Institutional' 'KPIT'
 'KRChoksey' 'Particulars' 'RoCE' 'Choksey Shares Securities Pvt Ltd'
 'KPIT Cummins Infosystems Ltd' 'BUY' 'Fort' 'HOLD' 'Institutional' 'KPIT'
 'KRC' 'KRChoksey' 'SEBI' 'Sec' 'Securities' 'www.krchoksey.com']"
Conviction Ideas -Goodricke Group.pdf,[],Capstocks Research Team Conviction,"['BSE' 'BUSINESS' 'COMPANY' 'Chattisgarh' 'Company' 'Equity' 'Goodricke'
 'Limited' 'Maharastra' 'Private' 'UK'
 '_______________________________________________________________________________'
 'BOOK' 'BSE' 'Corporate' 'DIVIDEND' 'EPS' 'Equity' 'FINANCIAL' 'GOODRIC'
 'INSTITUTIONS' 'MARKET' 'NET' 'PATTERN' 'PROFIT' 'PROMOTERS' 'Private'
 '_______________________________________________________________________________'
 'HSIL Limited' 'Amararaja' 'Conviction' 'Equity' 'Goodricke' 'HSIL'
 'Hydrabad' 'IDFC' 'NIIT' 'Private' 'Sundaram'
 '_______________________________________________________________________________'
 'Amararaja' 'Analysis' 'CAPSTOCKS' 'Capstocks' 'Equity' 'GMDC' 'Grindwell'
 'Gujarat' 'IDFC' 'INDIA' 'LIC' 'PVT' 'Private' 'SECURITIES' 'Securities'
 'Sundaram' 'Trivandrum'
 '_______________________________________________________________________________']"
TIMKEN Company AR 17.pdf,['' ''],Others,"['ABC' 'ADV' 'BSEAUTO' 'BUY' 'CFO' 'CMP' 'CV' 'EBITDA' 'FCF' 'FY17' 'High'
 'MHCV' 'MUKESH' 'Mar' 'NWC' 'Pro' 'RAMAKRISHNAN' 'RM' 'SPAK' 'SPARK'
 'TIMKEN' 'TMKN' 'TP' 'YoY' 'CFO' 'Contingent' 'DASHBOARD' 'EBITDA' 'FY17'
 'Interest' 'PAT' 'TMKN' 'Timken' 'Assets' 'DASHBOARD' 'FY18' 'LLP'
 'Related' 'TMKN' 'CV' 'FY13' 'FY17' 'TMKN' 'Total' 'YoY' 'ABC' 'America'
 'CV' 'FY13' 'FY16' 'FY18' 'HCV' 'TMKN' 'Total' 'ABC' 'FY13' 'FY16' 'TMKN'
 'America' 'FY15' 'RM' 'Related' 'TERI' 'TMKN' 'Admin' 'CSR' 'ERP' 'FY13'
 'FY15' 'FY16' 'Maintenance' 'Network' 'Repairs' 'Sub' 'FY15' 'FY16' 'FY17'
 'RM' 'AAR' 'FY13' 'IRIS' 'International' 'Jamshedpur' 'MNC' 'TMKN' 'ABC'
 'CFO' 'FCF' 'FCFF' 'FY13' 'Mar' 'NWC' 'TMKN' 'YoY' 'AGM' 'Board' 'CEO'
 'CFO' 'Contingent' 'Directorship' 'FY16' 'Forward' 'Networth'
 'Particulars' 'USD' 'ABC' 'Consol' 'EBIDTA' 'FY17' 'FY19E' 'PAT' 'TMKN'
 'ABC' 'CE' 'CWIP' 'Capital' 'FY13' 'PAT' 'Pre' 'Timken' 'Total' 'CWIP'
 'EBITDA' 'FCF' 'Interest' 'NA' 'Pre' 'RoCE' 'RoE' 'RoIC' 'ADD' 'BUY'
 'Interest' 'No' 'REDUCE' 'Research' 'SELL' 'Subject' 'CAPITAL' 'Capital'
 'Category' 'Exchange' 'FINRA' 'Financial' 'Investment' 'Merchant'
 'Private' 'Regulation' 'SEBI' 'SEC' 'Securities' 'Suite' 'US']"
Goals_optin.pdf,[],Others,"['BRIAN' 'Napoleon' 'ﬁYou' 'BRIAN' 'FAMILY' 'HEALTH' 'NET' 'WORTH' 'ﬁQuick'
 'BRIAN' 'Constraints' 'BRIAN' 'BRIAN' 'Attraction' 'BRIAN' 'ﬁGoalsﬂ' 'ﬁI'
 'BRIAN' 'BRIAN' 'GOALS' 'ULTIMATE' 'Author' 'BRIAN' 'CEO' 'Personal'
 'BRIAN' 'Support']"
